Initialising parameters:,,,,,Summary statistics:
Deck Name,Deck Identity:,,,,Trials to decision (i.e. terminate sampling and guess at deck identities)
Deck 3,QUEEN HI INFORMATIVE,,,,8
Deck 1,KING HI INFORMATIVE
Deck 2,KING LOW INFORMATIVE
Deck 4,QUEEN LOW INFORMATIVE

Type of trial:,FIXED_DECK
Type of display used:,History of drawn cards.

Participant ID:
1

,,,,,,Number of kings drawn,Number of queens drawn,Number of 'other' cards drawn,Proportion (kings:queens) drawn,Proportion ([kings+queens]:others) drawn
,,,,,Deck 3,0,1,1,0.0,0.5
,,,,,Deck 1,1,0,1,1.0,0.5
,,,,,Deck 2,1,1,0,0.5,1.0
,,,,,Deck 4,0,1,1,0.0,0.5

,,,,,,Sum of all cards turned
,,,,,Deck 3,2
,,,,,Deck 1,2
,,,,,Deck 2,2
,,,,,Deck 4,2

,,,,,,Guess at deck ID,Correctly identified
,,,,,Deck 3,QUEEN,YES
,,,,,Deck 1,KING,YES
,,,,,Deck 2,KING,YES
,,,,,Deck 4,QUEEN,YES

,,,,,Proportion correct ID (out of 4 - constrained to >1),1.0

,,,,,Raw data:
,,,,,Trial number,Time stamp,Deck choice,Card revealed
,,,,,0,2016-09-14T16:15:27.412,Deck 3,N
,,,,,1,2016-09-14T16:15:28.541,Deck 1,K
,,,,,2,2016-09-14T16:15:29.725,Deck 2,Q
,,,,,3,2016-09-14T16:15:30.829,Deck 4,N
,,,,,4,2016-09-14T16:15:32.375,Deck 3,Q
,,,,,5,2016-09-14T16:15:33.287,Deck 1,N
,,,,,6,2016-09-14T16:15:34.277,Deck 2,K
,,,,,7,2016-09-14T16:15:35.333,Deck 4,Q
