Initialising parameters:,,,,,Summary statistics:
Deck Name,Deck Identity:,,,,Trials to decision (i.e. terminate sampling and guess at deck identities)
Deck 4,QUEEN LOW INFORMATIVE,,,,6
Deck 2,KING LOW INFORMATIVE
Deck 3,QUEEN HI INFORMATIVE
Deck 1,KING HI INFORMATIVE

Type of trial:,FIXED_DECK
Type of display used:,History of drawn cards.

Participant ID:
1

,,,,,,Number of kings drawn,Number of queens drawn,Number of 'other' cards drawn,Proportion (kings:queens) drawn,Proportion ([kings+queens]:others) drawn
,,,,,Deck 4,0,1,1,0.0,0.5
,,,,,Deck 2,0,1,0,0.0,1.0
,,,,,Deck 3,0,1,1,0.0,0.5
,,,,,Deck 1,1,0,0,1.0,1.0

,,,,,,Sum of all cards turned
,,,,,Deck 4,2
,,,,,Deck 2,1
,,,,,Deck 3,2
,,,,,Deck 1,1

,,,,,,Guess at deck ID,Correctly identified
,,,,,Deck 4,QUEEN,YES
,,,,,Deck 2,QUEEN,NO
,,,,,Deck 3,KING,NO
,,,,,Deck 1,KING,YES

,,,,,Proportion correct ID (out of 4 - constrained to >1),0.5

,,,,,Raw data:
,,,,,Trial number,Time stamp,Deck choice,Card revealed
,,,,,0,2016-09-14T16:16:56.805,Deck 4,N
,,,,,1,2016-09-14T16:16:57.881,Deck 2,Q
,,,,,2,2016-09-14T16:16:58.921,Deck 3,N
,,,,,3,2016-09-14T16:17:00.057,Deck 1,K
,,,,,4,2016-09-14T16:17:01.185,Deck 3,Q
,,,,,5,2016-09-14T16:17:03.497,Deck 4,Q
