Initialising parameters:,,,,,Summary statistics:
Deck Name,Deck Identity:,,,,Trials to decision (i.e. terminate sampling and guess at deck identities)
Deck 1,KING HI INFORMATIVE,,,,19
Deck 2,KING LOW INFORMATIVE
Deck 3,QUEEN HI INFORMATIVE
Deck 4,QUEEN LOW INFORMATIVE

Type of trial:,FIXED_DECK
Type of display used:,History of drawn cards.

Participant ID:
1

,,,,,,Number of kings drawn,Number of queens drawn,Number of 'other' cards drawn,Proportion (kings:queens) drawn,Proportion ([kings+queens]:others) drawn
,,,,,Deck 1,3,1,4,0.75,0.5
,,,,,Deck 2,0,1,2,0.0,0.3333333333333333
,,,,,Deck 3,1,1,1,0.5,0.6666666666666666
,,,,,Deck 4,0,1,4,0.0,0.2

,,,,,,Sum of all cards turned
,,,,,Deck 1,8
,,,,,Deck 2,3
,,,,,Deck 3,3
,,,,,Deck 4,5

,,,,,,Guess at deck ID,Correctly identified
,,,,,Deck 1,KING,YES
,,,,,Deck 2,QUEEN,NO
,,,,,Deck 3,KING,NO
,,,,,Deck 4,QUEEN,YES

,,,,,Proportion correct ID (out of 4 - constrained to >1),0.5

,,,,,Raw data:
,,,,,Trial number,Time stamp,Deck choice,Card revealed
,,,,,0,2016-09-23T19:08:44.019,Deck 1,K
,,,,,1,2016-09-23T19:08:45.435,Deck 1,N
,,,,,2,2016-09-23T19:08:46.523,Deck 1,N
,,,,,3,2016-09-23T19:08:47.435,Deck 1,N
,,,,,4,2016-09-23T19:08:48.235,Deck 1,N
,,,,,5,2016-09-23T19:08:49.115,Deck 1,Q
,,,,,6,2016-09-23T19:08:49.979,Deck 1,K
,,,,,7,2016-09-23T19:08:50.939,Deck 1,K
,,,,,8,2016-09-23T19:08:52.571,Deck 2,Q
,,,,,9,2016-09-23T19:08:53.315,Deck 2,N
,,,,,10,2016-09-23T19:08:54.099,Deck 2,N
,,,,,11,2016-09-23T19:08:55.755,Deck 3,K
,,,,,12,2016-09-23T19:08:56.651,Deck 3,N
,,,,,13,2016-09-23T19:08:57.867,Deck 3,Q
,,,,,14,2016-09-23T19:08:59.723,Deck 4,N
,,,,,15,2016-09-23T19:09:00.387,Deck 4,Q
,,,,,16,2016-09-23T19:09:01.115,Deck 4,N
,,,,,17,2016-09-23T19:09:03.003,Deck 4,N
,,,,,18,2016-09-23T19:09:03.795,Deck 4,N
