Initialising parameters:,,,,Summary statistics:
Deck Name,Deck Identity:,,16
UNKNOWN,KING HI INFORMATIVE
UNKNOWN,KING LOW INFORMATIVE
UNKNOWN,QUEEN HI INFORMATIVE
UNKNOWN,QUEEN LOW INFORMATIVE

Type of trial:,FIXED_DECK

Participant ID:
0
,,,,,,Number of kings drawn,Number of queens drawn,Number of 'other' cards drawn,Proportion (kings:queens) drawn,Proportion ([kings+queens]:others) drawn
,,,,,UNKNOWN,1,0,3,1.0,0.25
,,,,,UNKNOWN,1,0,3,1.0,0.25
,,,,,UNKNOWN,1,2,1,0.3333333333333333,0.75
,,,,,UNKNOWN,1,1,2,0.5,0.5

,,,,,,Sum of all cards turned
,,,,,UNKNOWN,4
,,,,,UNKNOWN,4
,,,,,UNKNOWN,4
,,,,,UNKNOWN,4

,,,,,,Guess at deck ID,Correctly identified
,,,,,UNKNOWN,KING,YES,,,,,UNKNOWN,QUEEN,NO,,,,,UNKNOWN,KING,NO,,,,,UNKNOWN,QUEEN,YES
,,,,,Proportion correct ID (out of 4 - constrained to >1),0.5

,,,,,Raw data:
,,,,,Trial number,Time stamp,Deck choice,Card revealed
,,,,,0,2016-05-23T17:46:27.699,UNKNOWN,K
,,,,,1,2016-05-23T17:46:29.514,UNKNOWN,N
,,,,,2,2016-05-23T17:46:31.463,UNKNOWN,Q
,,,,,3,2016-05-23T17:46:33.542,UNKNOWN,N
,,,,,4,2016-05-23T17:46:35.580,UNKNOWN,N
,,,,,5,2016-05-23T17:46:36.950,UNKNOWN,N
,,,,,6,2016-05-23T17:46:38.682,UNKNOWN,K
,,,,,7,2016-05-23T17:46:40.864,UNKNOWN,N
,,,,,8,2016-05-23T17:46:43.170,UNKNOWN,N
,,,,,9,2016-05-23T17:46:44.652,UNKNOWN,K
,,,,,10,2016-05-23T17:46:45.915,UNKNOWN,N
,,,,,11,2016-05-23T17:46:47.118,UNKNOWN,Q
,,,,,12,2016-05-23T17:46:49.219,UNKNOWN,N
,,,,,13,2016-05-23T17:46:50.451,UNKNOWN,N
,,,,,14,2016-05-23T17:46:51.571,UNKNOWN,Q
,,,,,15,2016-05-23T17:46:55.052,UNKNOWN,K
