Initialising parameters:,,,,,Summary statistics:
Deck Name,Deck Identity:,,,,Trials to decision (i.e. terminate sampling and guess at deck identities)
Deck 1,KING HI INFORMATIVE,,,,15
Deck 2,KING LOW INFORMATIVE
Deck 3,QUEEN HI INFORMATIVE
Deck 4,QUEEN LOW INFORMATIVE

Type of trial:,FIXED_DECK

Participant ID:
2

,,,,,,Number of kings drawn,Number of queens drawn,Number of 'other' cards drawn,Proportion (kings:queens) drawn,Proportion ([kings+queens]:others) drawn
,,,,,Deck 1,1,0,3,1.0,0.25
,,,,,Deck 2,0,0,2,0.0,0.0
,,,,,Deck 3,1,3,1,0.25,0.8
,,,,,Deck 4,1,1,2,0.5,0.5

,,,,,,Sum of all cards turned
,,,,,Deck 1,4
,,,,,Deck 2,2
,,,,,Deck 3,5
,,,,,Deck 4,4

,,,,,,Guess at deck ID,Correctly identified
,,,,,Deck 1,QUEEN,NO
,,,,,Deck 2,KING,YES
,,,,,Deck 3,QUEEN,YES
,,,,,Deck 4,KING,NO

,,,,,Proportion correct ID (out of 4 - constrained to >1),0.5

,,,,,Raw data:
,,,,,Trial number,Time stamp,Deck choice,Card revealed
,,,,,0,2016-05-24T09:19:48.369,Deck 1,K
,,,,,1,2016-05-24T09:19:50.923,Deck 1,N
,,,,,2,2016-05-24T09:19:51.809,Deck 1,N
,,,,,3,2016-05-24T09:19:52.567,Deck 1,N
,,,,,4,2016-05-24T09:19:54.387,Deck 2,N
,,,,,5,2016-05-24T09:19:55.177,Deck 2,N
,,,,,6,2016-05-24T09:19:57.425,Deck 3,Q
,,,,,7,2016-05-24T09:19:58.433,Deck 3,K
,,,,,8,2016-05-24T09:19:59.213,Deck 3,N
,,,,,9,2016-05-24T09:20:00.098,Deck 3,Q
,,,,,10,2016-05-24T09:20:00.864,Deck 3,Q
,,,,,11,2016-05-24T09:20:02.291,Deck 4,N
,,,,,12,2016-05-24T09:20:03.152,Deck 4,N
,,,,,13,2016-05-24T09:20:03.975,Deck 4,Q
,,,,,14,2016-05-24T09:20:05.818,Deck 4,K
