Initialising parameters:,,,,,Summary statistics:
Deck Name,Deck Identity:,,,,Trials to decision (i.e. terminate sampling and guess at deck identities)
Deck 1,KING HI INFORMATIVE,,,,6
Deck 3,QUEEN HI INFORMATIVE
Deck 4,QUEEN LOW INFORMATIVE
Deck 2,KING LOW INFORMATIVE

Type of trial:,FIXED_DECK

Participant ID:
0

,,,,,,Number of kings drawn,Number of queens drawn,Number of 'other' cards drawn,Proportion (kings:queens) drawn,Proportion ([kings+queens]:others) drawn
,,,,,Deck 1,1,0,1,1.0,0.5
,,,,,Deck 3,0,1,0,0.0,1.0
,,,,,Deck 4,0,0,2,0.0,0.0
,,,,,Deck 2,0,0,1,0.0,0.0

,,,,,,Sum of all cards turned
,,,,,Deck 1,2
,,,,,Deck 3,1
,,,,,Deck 4,2
,,,,,Deck 2,1

,,,,,,Guess at deck ID,Correctly identified
,,,,,Deck 1,KING,YES
,,,,,Deck 3,KING,NO
,,,,,Deck 4,KING,NO
,,,,,Deck 2,KING,YES

,,,,,Proportion correct ID (out of 4 - constrained to >1),0.5

,,,,,Raw data:
,,,,,Trial number,Time stamp,Deck choice,Card revealed
,,,,,0,2016-07-20T13:13:42.648,Deck 1,K
,,,,,1,2016-07-20T13:13:48.177,Deck 3,Q
,,,,,2,2016-07-20T13:13:51.843,Deck 4,N
,,,,,3,2016-07-20T13:13:54.891,Deck 2,N
,,,,,4,2016-07-20T13:14:42.564,Deck 1,N
,,,,,5,2016-07-20T13:14:45.411,Deck 4,N
