Initialising parameters:,,,,,Summary statistics:
Deck Name,Deck Identity:,,,,Trials to decision (i.e. terminate sampling and guess at deck identities)
Deck 4,QUEEN LOW INFORMATIVE,,,,6
Deck 1,KING HI INFORMATIVE
Deck 2,KING LOW INFORMATIVE
Deck 3,QUEEN HI INFORMATIVE

Type of trial:,FIXED_DECK

Participant ID:
1

,,,,,,Number of kings drawn,Number of queens drawn,Number of 'other' cards drawn,Proportion (kings:queens) drawn,Proportion ([kings+queens]:others) drawn
,,,,,Deck 4,0,0,1,0.0,0.0
,,,,,Deck 1,1,0,2,1.0,0.3333333333333333
,,,,,Deck 2,0,0,1,0.0,0.0
,,,,,Deck 3,0,1,0,0.0,1.0

,,,,,,Sum of all cards turned
,,,,,Deck 4,1
,,,,,Deck 1,3
,,,,,Deck 2,1
,,,,,Deck 3,1

,,,,,,Guess at deck ID,Correctly identified
,,,,,Deck 4,KING,NO
,,,,,Deck 1,QUEEN,NO
,,,,,Deck 2,KING,YES
,,,,,Deck 3,QUEEN,YES

,,,,,Proportion correct ID (out of 4 - constrained to >1),0.5

,,,,,Raw data:
,,,,,Trial number,Time stamp,Deck choice,Card revealed
,,,,,0,2016-09-13T10:27:08.891,Deck 1,K
,,,,,1,2016-09-13T10:27:09.767,Deck 1,N
,,,,,2,2016-09-13T10:27:20.578,Deck 1,N
,,,,,3,2016-09-13T10:27:23.724,Deck 2,N
,,,,,4,2016-09-13T10:27:26.453,Deck 3,Q
,,,,,5,2016-09-13T10:27:30.651,Deck 4,N
