Initialising parameters:,,,,,Summary statistics:
Deck Name,Deck Identity:,,,,Trials to decision (i.e. terminate sampling and guess at deck identities)
Deck 3,QUEEN HI INFORMATIVE,,,,4
Deck 1,KING HI INFORMATIVE
Deck 4,QUEEN LOW INFORMATIVE
Deck 2,KING LOW INFORMATIVE

Type of trial:,FIXED_DECK
Type of display used:,History of drawn cards.

Participant ID:
1

,,,,,,Number of kings drawn,Number of queens drawn,Number of 'other' cards drawn,Proportion (kings:queens) drawn,Proportion ([kings+queens]:others) drawn
,,,,,Deck 3,0,0,1,0.0,0.0
,,,,,Deck 1,1,0,0,1.0,1.0
,,,,,Deck 4,0,0,1,0.0,0.0
,,,,,Deck 2,0,1,0,0.0,1.0

,,,,,,Sum of all cards turned
,,,,,Deck 3,1
,,,,,Deck 1,1
,,,,,Deck 4,1
,,,,,Deck 2,1

,,,,,,Guess at deck ID,Correctly identified
,,,,,Deck 3,KING,NO
,,,,,Deck 1,QUEEN,NO
,,,,,Deck 4,QUEEN,YES
,,,,,Deck 2,KING,YES

,,,,,Proportion correct ID (out of 4 - constrained to >1),0.5

,,,,,Raw data:
,,,,,Trial number,Time stamp,Deck choice,Card revealed
,,,,,0,2016-09-14T16:02:20.471,Deck 3,N
,,,,,1,2016-09-14T16:02:21.608,Deck 1,K
,,,,,2,2016-09-14T16:02:22.865,Deck 4,N
,,,,,3,2016-09-14T16:02:25.757,Deck 2,Q
